s_label,strip_id,well_id,pcr1_plate_id,lysis_notes,pcr1_plate_well,gel1_band,band_notes,seq1_plate_id,seq1_well_id,seq1_species_id_oECA305,seq1_notes_oECA305,seq1_species_id_oECA306,seq1_notes_oECA306,seq1_species_id,pcr2_plate_id,pcr2_plate_well,seq2_plate_id,seq2_plate_well,seq2_species_id,seq2_notes,confirmed_species_id,ECA_name
S-08030,13,6,2,,E06,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08031,13,7,2,,E07,1,,1,F04,C. tropicalis,mismatch,C. tropicalis,mismatch,C. tropicalis,201,C06,201,C03,C. tropicalis,0,C. tropicalis,ECA1307
S-08033,13,8,2,,E08,1,,1,F05,C. tropicalis,mismatch,C. tropicalis,mismatch,C. tropicalis,201,C07,201,C04,C. tropicalis,0,C. tropicalis,ECA1308
S-08034,13,9,2,,E09,1,,1,F06,C. tropicalis,mismatch,C. tropicalis,mismatch,C. tropicalis,201,C08,201,C05,C. tropicalis,0,C. tropicalis,ECA1309
S-08035,13,10,2,,E10,1,,1,F07,C. briggsae,mismatch,C. briggsae,0,C. briggsae,201,C09,201,C06,C. briggsae,0,C. briggsae,ECA1159
S-08036,13,11,2,,E11,1,,1,F08,C. tropicalis,mismatch,C. tropicalis,mismatch,C. tropicalis,201,C10,201,C07,C. tropicalis,0,C. tropicalis,ECA1310
positive control,13,12,2,,E12,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08037,14,1,2,,F01,1,,1,F09,C. briggsae,mismatch,C. briggsae,0,C. briggsae,201,C11,201,C08,C. briggsae,0,C. briggsae,ECA1160
S-08038,14,2,2,,F02,1,,1,F10,C. briggsae,mismatch,C. briggsae,0,C. briggsae,201,D01,201,C09,C. briggsae,0,C. briggsae,ECA1161
S-08039,14,3,2,,F03,1,,1,F11,C. briggsae,mismatch,C. briggsae,0,C. briggsae,201,D02,201,C10,C. briggsae,0,C. briggsae,ECA1162
S-08041,14,4,2,,F04,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08053,14,5,2,,F05,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08054,14,6,2,,F06,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08055,14,7,2,,F07,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08056,14,8,2,,F08,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08057,14,9,2,,F09,1,,1,F12,C. briggsae,mismatch,C. briggsae,0,C. briggsae,201,D03,201,C11,C. briggsae,0,C. briggsae,ECA1163
S-08058,14,10,2,,F10,1,,1,G01,C. briggsae,0,0,0,C. briggsae,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08059,14,11,2,,F11,1,,1,G02,C. briggsae,0,0,0,C. briggsae,201,D05,201,C12,C. briggsae,0,C. briggsae,ECA1164
positive control,14,12,2,,F12,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08060,15,1,2,,G01,1,,1,G03,C. briggsae,0,0,0,C. briggsae,201,D06,201,D01,C. briggsae,0,C. briggsae,ECA1165
S-08061,15,2,2,,G02,1,,1,G04,Oscheius myriophila,0,0,0,Oscheius myriophila,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08065,15,3,2,,G03,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08069,15,4,2,,G04,1,,1,G05,C. elegans,0,0,0,C. elegans,201,D07,201,D02,C. elegans,0,C. elegans,ECA1184
S-08071,15,5,2,,G05,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08072,15,6,2,,G06,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08073,15,7,2,,G07,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08074,15,8,2,,G08,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08075,15,9,2,,G09,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08076,15,10,2,,G10,1,,1,G06,C. elegans,0,0,0,C. elegans,201,D08,201,D03,C. elegans,0,C. elegans,ECA1185
S-08077,15,11,2,,G11,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
positive control,15,12,2,,G12,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08078,16,1,2,,H01,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08079,16,2,2,,H02,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08080,16,3,2,,H03,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08081,16,4,2,,H04,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08082,16,5,2,,H05,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08083,16,6,2,,H06,1,,1,G07,C. elegans,0,0,0,C. elegans,201,D09,201,D04,C. elegans,0,C. elegans,ECA1186
S-08084,16,7,2,,H07,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08085,16,8,2,,H08,1,,1,G08,C. briggsae,0,0,0,C. briggsae,201,D10,201,D05,C. briggsae,0,C. briggsae,ECA1166
S-08086,16,9,2,,H09,1,,1,G09,C. briggsae,0,0,0,C. briggsae,201,D11,201,D06,C. briggsae,0,C. briggsae,ECA1167
S-08087,16,10,2,,H10,1,,1,G10,C. briggsae,0,0,0,C. briggsae,201,E01,201,D07,C. briggsae,0,C. briggsae,ECA1168
S-08088,16,11,2,,H11,1,,1,G11,C. briggsae,0,0,0,C. briggsae,201,E02,201,D08,C. briggsae,0,C. briggsae,ECA1169
positive control,16,12,2,,H12,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08089,17,1,3,,A01,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08091,17,2,3,,A02,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08092,17,3,3,,A03,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08093,17,4,3,,A04,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08094,17,5,3,,A05,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08095,17,6,3,,A06,1,,1,G12,Oscheius myriophila,mismatch,Oscheius myriophilus,mismatch,Oscheius myriophilus,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08096,17,7,3,,A07,1,,1,H01,C. briggsae,low score,C. briggsae,0,C. briggsae,201,E03,201,D09,C. briggsae,0,C. briggsae,ECA1170
S-08097,17,8,3,,A08,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08098,17,9,3,,A09,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08099,17,10,3,,A10,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08101,17,11,3,,A11,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
positive control,17,12,3,,A12,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08103,18,1,3,,B01,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08105,18,2,3,,B02,1,,1,H02,Oscheius myriophila,mismatch,Oscheius myriophilus,mismatch,Oscheius myriophilus,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08106,18,3,3,,B03,1,,1,H03,Oscheius myriophila,low score,Oscheius myriophilus,mismatch,Oscheius myriophilus,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08107,18,4,3,,B04,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08108,18,5,3,,B05,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08109,18,6,3,,B06,1,,1,H04,Oscheius myriophila,mismatch,Oscheius myriophilus,mismatch,Oscheius myriophilus,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08110,18,7,3,,B07,1,,1,H05,Oscheius myriophila,mismatch,Oscheius myriophilus,mismatch,Oscheius myriophilus,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08111,18,8,3,,B08,1,,1,H06,Oscheius myriophila,mismatch,Oscheius myriophilus,mismatch,Oscheius myriophilus,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08112,18,9,3,,B09,1,,1,H07,Oscheius myriophila,mismatch,Oscheius myriophilus,mismatch,Oscheius myriophilus,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08116,18,10,3,,B10,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08120,18,11,3,,B11,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
positive control,18,12,3,,B12,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08121,19,1,3,,C01,1,,1,H08,C. elegans,0,0,0,C. elegans,201,E04,201,D10,C. elegans,0,C. elegans,ECA1187
S-08122,19,2,3,,C02,1,,1,H09,C. elegans,0,0,0,C. elegans,201,E05,201,D11,C. elegans,0,C. elegans,ECA1188
S-08123,19,3,3,,C03,1,,1,H10,C. elegans,0,0,0,C. elegans,201,E06,201,D12,C. elegans,0,C. elegans,ECA1189
S-08124,19,4,3,,C04,1,,1,H11,C. elegans,0,0,0,C. elegans,201,E07,201,E01,C. elegans,0,C. elegans,ECA1190
S-08125,19,5,3,,C05,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08126,19,6,3,,C06,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08128,19,7,3,,C07,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08129,19,8,3,,C08,1,,1,H12,C. elegans,0,0,0,C. elegans,201,E08,201,E02,C. elegans,0,C. elegans,ECA1191
S-08130,19,9,3,,C09,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08131,19,10,3,,C10,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08132,19,11,3,,C11,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
positive control,19,12,3,,C12,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08135,20,1,3,,D01,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08140,20,2,3,,D02,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08141,20,3,3,,D03,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08142,20,4,3,,D04,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08143,20,5,3,,D05,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08144,20,6,3,,D06,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08146,20,7,3,,D07,1,,2,A01,C. elegans,381 GT mismatch,C. elegans,mismatch,C. elegans,201,E09,201,E03,C. elegans,0,C. elegans,ECA1192
S-08147,20,8,3,,D08,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08148,20,9,3,,D09,1,,2,A02,no match,0,C. elegans,mismatch,C. elegans,201,E10,201,E04,C. elegans,0,C. elegans,ECA1193
S-08151,20,10,3,,D10,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08152,20,11,3,,D11,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
positive control,20,12,3,,D12,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08153,21,1,3,,E01,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08154,21,2,3,,E02,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08155,21,3,3,,E03,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08157,21,4,3,,E04,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08158,21,5,3,,E05,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08159,21,6,3,,E06,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08160,21,7,3,,E07,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08162,21,8,3,,E08,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08164,21,9,3,,E09,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08165,21,10,3,,E10,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08167,21,11,3,,E11,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
positive control,21,12,3,,E12,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08169,22,1,3,,F01,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08170,22,2,3,,F02,1,,2,A04,C. elegans,387 GT mismatch,C. elegans,mismatch,C. elegans,201,E11,201,E05,C. elegans,0,C. elegans,ECA1194
S-08173,22,3,3,,F03,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08174,22,4,3,,F04,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08175,22,5,3,,F05,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08177,22,6,3,,F06,1,,2,A05,C. elegans,381 GT mismatch,C. elegans,mismatch,C. elegans,201,F01,201,E06,C. elegans,0,C. elegans,ECA1195
S-08179,22,7,3,sterile,F07,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08180,22,8,3,not picked,F08,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08181,22,9,3,,F09,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08182,22,10,3,,F10,1,,2,A06,no match,0,Acaulopage dichotoma,low score,ambiguous,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08183,22,11,3,,F11,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
positive control,22,12,3,,F12,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08184,23,1,3,,G01,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08186,23,2,3,,G02,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08187,23,3,3,,G03,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08188,23,4,3,,G04,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08189,23,5,3,,G05,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08190,23,6,3,,G06,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08194,23,7,3,,G07,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08195,23,8,3,,G08,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08196,23,9,3,,G09,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08197,23,10,3,,G10,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08201,23,11,3,,G11,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
positive control,23,12,3,,G12,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08202,24,1,3,,H01,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08205,24,2,3,,H02,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08209,24,3,3,,H03,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08210,24,4,3,,H04,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08211,24,5,3,,H05,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08212,24,6,3,,H06,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08217,24,7,3,,H07,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08218,24,8,3,,H08,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08220,24,9,3,,H09,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08221,24,10,3,,H10,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08224,24,11,3,,H11,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
positive control,24,12,3,,H12,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08225,25,1,4,,A01,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08226,25,2,4,,A02,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08229,25,3,4,,A03,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08230,25,4,4,,A04,1,,2,A07,no match,0,Panagrolaimus sp.,similar scores,Panagrolaimus sp.,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08231,25,5,4,,A05,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08232,25,6,4,,A06,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08234,25,7,4,,A07,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08236,25,8,4,,A08,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08237,25,9,4,,A09,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08238,25,10,4,,A10,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08239,25,11,4,,A11,1,,2,A08,no match,0,Oscheius sp.,0,Oscheius sp.,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
positive control,25,12,4,,A12,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-08240,26,1,4,,B01,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
