initial_spp_id,confirmed_species_id,ECA_name,s_label,box,position,last chunk,bleach,bleach transfer,Freeze box,chunk to freeze,10cm plates to Robyn,worms frozen,10cm gdna plate,DNA pellet,gDNA extracted,notes,,,,,,,,,,,
C. elegans,C. elegans,ECA1282,S-09664,2,D3,5/30/19,6/5/19,6/6/19,,6/11/19,1,6/17/19,1,,,slow,,,,,,,,,,,
C. elegans,C. elegans,ECA1283,S-09674,2,D3,5/30/19,6/3/19,6/4/19,,6/11/19,1,6/17/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1284,S-09713,2,D4,5/30/19,6/3/19,6/4/19,,6/11/19,1,6/17/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1285,S-09715,2,D4,5/30/19,6/3/19,6/4/19,,6/11/19,1,6/17/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1286,S-09763,2,D4,5/30/19,6/3/19,6/4/19,,6/11/19,1,6/17/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1287,S-09789,2,D4,5/30/19,6/3/19,6/4/19,,6/11/19,1,6/17/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1288,S-09811,2,D5,5/30/19,6/3/19,6/4/19,,6/11/19,1,6/17/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1289,S-09817,2,D5,5/30/19,6/3/19,6/4/19,,6/11/19,1,6/17/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1290,S-09826,2,E1,5/30/19,6/3/19,6/4/19,,6/11/19,1,6/17/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1291,S-09841,2,E1,5/30/19,6/3/19,6/4/19,,6/11/19,1,6/17/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1292,S-09891,2,E2,5/30/19,6/3/19,6/4/19,,6/11/19,1,6/17/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1293,S-09953,2,E2,5/30/19,6/3/19,6/4/19,,6/11/19,1,6/17/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1294,S-09955,2,E2,5/30/19,6/3/19,6/4/19,,6/11/19,1,6/17/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1295,S-09965,2,E2,5/30/19,6/3/19,6/4/19,,6/11/19,1,6/17/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1296,S-09978,2,E3,5/30/19,6/3/19,6/4/19,,6/11/19,1,6/17/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1297,S-09979,2,E3,5/30/19,6/3/19,6/4/19,,6/11/19,1,6/17/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1298,S-09980,2,E3,5/30/19,6/3/19,6/4/19,,6/11/19,1,6/17/19,1,,,,,,,,,,,,,,
C. tropicalis,C. tropicalis,ECA1299,S-07814,1,A2,5/16/19,5/20/19,5/21/19,104,5/28/19,1,2/25/19,,1,,only transferred 3L1s,,,,,,,,,,,
C. tropicalis,C. tropicalis,ECA1300,S-07841,1,A2,5/16/19,5/20/19,5/21/19,104,5/28/19,1,3/15/19,,1,,only transferred 3L1s,,,,,,,,,,,
C. tropicalis,C. tropicalis,ECA1301,S-07842,1,A2,3/2/19,3/5/19,3/6/19,15,3/10/0219,1,3/19/19,,1,,,,,,,,,,,,,
C. tropicalis,C. tropicalis,ECA1302,S-07844,1,A3,1/29/19,2/1/19,2/2/19,7,2/5/19,1,2/14/19,,1,,,,,,,,,,,,,
C. tropicalis,C. tropicalis,ECA1303,S-07845,1,A3,2/1/19,2/5/19,2/6/19,10,2/13/19,1,2/25/19,,1,,,,,,,,,,,,,
C. tropicalis,C. tropicalis,ECA1304,S-07846,1,A3,5/16/19,5/20/19,5/22/19,104,5/28/19,1,6/5/19,,1,,,,,,,,,,,,,
